STT,Tác Giả,Link Bài Viết,Từ Khóa Khớp,Nội Dung Bài (Trích Đoạn),Link Group,Thời Gian Đăng,Thời Gian Cào
1,Nguyễn Mỹ Hiền,https://www.facebook.com/groups/jobITDaNang/posts/2735444200209934/,fresher,"[AVEPOINT CHIÊU MỘ FRESHER - JUNIOR TẠI ĐÀ NẴNG - HÀ NỘI]
 Mùa trăng này, mình đang còn thiếu khá nhiều cầu Fresher - Junior để phá cỗ, rước đèn và ăn bánh trung thu cùng.
Một số jobs đã về đích rồi, nhưng vẫn có nhiều jobs open đang open các bạn sinh viên mới ra trường để thử sức và training nha 
 ...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,3 ngày,2026-09-14 13:31:48
2,Ngô Thuỳ Trang,https://www.facebook.com/groups/jobITDaNang/posts/2735428136878207/,"Thực tập sinh, thực tập, intern","VR360 TUYỂN DỤNG: KINH DOANH & BIÊN TẬP VIÊN NỘI DUNG VR (Có nhận Intern) 
 Bạn đam mê công nghệ 3D/VR/AR? Bạn muốn thử sức trong môi trường thực tế ảo cực chất? VR360 đang tìm kiếm đồng đội nhiệt huyết gia nhập team cho 2 vị trí ""hot"":
 CÁC VỊ TRÍ TUYỂN DỤNG:

 Chuyên viên / Thực tập sinh Kinh doan...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,2 ngày,2026-09-14 13:31:51
3,Công Ty Tnhh Mtv Rgm Đà Nẵng,https://www.facebook.com/groups/jobITDaNang/posts/2738352053252482/,chưa có kinh nghiệm,"RGM TD: Nhân viên IT (Biết tiếng Trung)
------------------------
Làm việc tại: Công ty TNHH MTV RGM Đà Nẵng
MÔ TẢ CÔNG VIỆC:
Hỗ trợ các phần mềm cho nhà mày
Chưa có kinh nghiệm sẽ được đào tạo
QUYỀN LỢI:
- Chuyên cần tháng: 500.000
- Chuyên cần Qúy: 1.500.000
- Xăng xe: 200.000
- Con nhỏ, Thâm niên:...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,,2026-09-14 13:32:07
4,Khanh Ly,https://www.facebook.com/groups/jobITDaNang/posts/2722773478143673/,fresher,"Viettel Peru (Bitel) Chiêu mộ FRESHER Kỹ sư Thiết kế & Triển khai Mạng Truyền dẫn
Team mình tìm kiếm 01 kỹ sư (open với các bạn mới tốt nghiệp) cho vị trí về thiết kế và triển khai mạng truyền dẫn tại. Bitel - thương hiệu của Viettel tại Peru, kinh doanh tại thị trường này từ năm 2014.
VỀ CÔNG VIỆC
...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,,2026-09-14 13:33:22
5,Ho Thuy Trang,https://www.facebook.com/groups/jobITDaNang/posts/2716756185412069/,"thực tập, intern","𝗦𝗢𝗔𝗥𝗜𝗚 𝗩𝗜𝗘̣̂𝗧 𝗡𝗔𝗠 𝘁𝘂𝘆𝗲̂̉𝗻 𝗱𝘂̣𝗻𝗴:
Intern Flutter
𝐐𝐮𝐲𝐞̂̀𝐧 𝐥𝐨̛̣𝐢:
- Trợ cấp trong thời gian thực tập
- Mentor trực tiếp hướng dẫn và hỗ trợ trong quá trình làm việc
- Được đào tạo, tham gia dự án thực tế của công ty
- Môi trường làm việc năng động, hỗ trợ học tập và phát t...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,3 tuần,2026-09-14 13:34:15
6,Truc Ly,https://www.facebook.com/groups/jobITDaNang/posts/2709027309518290/,chưa có kinh nghiệm,"FPT TELECOM TUYỂN DỤNG
NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ DỊCH VỤ VIỄN THÔNG
 Khu vực làm việc:
Đà Nẵng
Quảng Nam: Núi Thành, Tam Kỳ, Thăng Bình, Hà Lam
 Thu nhập: 10 - 15 triệu/tháng
 MÔ TẢ CÔNG VIỆC
• Triển khai, bảo trì và xử lý sự cố dịch vụ Internet, Truyền hình FPT và các dịch vụ viễn th...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,4 tuần,2026-09-14 13:34:29
7,Kim HR,https://www.facebook.com/groups/jobITDaNang/posts/2650040598750295/,"fresher, đào tạo từ đầu","CƠ HỘI CHO FRESHER SAP – ONBOARD 07/2026 

Đào tạo từ đầu – Dự án quốc tế – Làm việc tại Đà Nẵng
 Làm việc tại: FPT Complex, Nam Kỳ Khởi Nghĩa

 Thời gian: Full-time

 Dự kiến bắt đầu: 07/2026
Bạn mới tốt nghiệp hoặc đang muốn thử sức với SAP? Đây là cơ hội để tiếp cận một trong những hệ thống quản ...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,,2026-09-14 13:34:47
8,Truc Ly,https://www.facebook.com/groups/jobITDaNang/posts/2713279315759756/,chưa có kinh nghiệm,"FPT TELECOM TUYỂN DỤNG
NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ DỊCH VỤ VIỄN THÔNG
 Khu vực làm việc:
Đà Nẵng
Quảng Nam: Thăng Bình, Hà Lam
 Thu nhập: 10 - 25 triệu/tháng
 MÔ TẢ CÔNG VIỆC
• Triển khai, bảo trì và xử lý sự cố dịch vụ Internet, Truyền hình FPT và các dịch vụ viễn thông tại nhà khách h...",https://www.facebook.com/groups/jobITDaNang?locale=vi_VN,,2026-09-14 13:35:29
9,Ánh Phương Nguyễn,https://www.facebook.com/groups/vieclamcnttdanangnew/posts/38199855682993119/,"thực tập, internship","INTERNSHIP 2026 – SOLUTION CONSULTANT
 Bạn sẽ nhận được:
Thực tập 3 tháng trong môi trường Product, tham gia phân tích bài toán vận hành, thiết kế và xây dựng giải pháp cho doanh nghiệp.
Được đào tạo về Digital Operations, SaaS, Solution Development và No-code.
Trợ cấp 1.000.000đ/tháng.
Cơ hội trở t...",https://www.facebook.com/groups/vieclamcnttdanangnew?locale=vi_VN,,2026-09-14 13:36:09
10,Trần Chi,https://www.facebook.com/groups/vieclamcnttdanangnew/posts/38121917720786916/,"internship, fresher","Rikkeisoft đang open khóa Internship/Fresher
Các vị trí Developer, ưu tiên ứng viên có ngoại ngữ (EN/JP)
Apply tại Link: https://forms.gle/ssSadnpcGUX7Ra6T8
#Rikkeisoft #Internship #Japan #Global",https://www.facebook.com/groups/vieclamcnttdanangnew?locale=vi_VN,3 ngày,2026-09-14 13:36:36
